,EventID,Name,Start_Time,Start_Hour,weekday
55,1644376089211203,Brooklyn Nets vs. Detroit Pistons,2016-11-02 19:30:00,19,True
56,1786422028238464,New York Islanders v. Tampa Bay Lightning,2016-11-01 19:30:00,19,True
57,157962234609916,Brooklyn Nets vs. Chicago Bulls,2016-10-31 19:30:00,19,True
58,1026788607403580,New York Islanders v. Toronto Maple Leafs (Trick-or-Treat Bag),2016-10-30 18:00:00,18,False
59,919233804871941,Brooklyn Nets vs. Indiana Pacers,2016-10-28 19:30:00,19,True
60,1503735702985399,Power 105.1 Presents Powerhouse NYC,2016-10-27 19:00:00,19,True
61,757024464440447,New York Islanders v. Montreal Canadiens (Bill Torrey Bowtie),2016-10-26 19:00:00,19,True
62,1636943963220976,Miguel - Upgrade Meet & Greet Packages,2016-10-25 19:01:00,19,True
63,1231274976882827,Sia: Nostalgic For The Present Tour,2016-10-25 19:00:00,19,True
64,297291850658535,New York Islanders V Minnesota Wild,2016-10-23 18:00:00,18,False
65,159205594507443,Masters of Ceremony,2016-10-22 20:00:00,20,False
66,624114757764062,New York Islanders V Arizona Coyotes (Rally Towel Giveaway),2016-10-21 19:00:00,19,True
67,160990504332838,Brooklyn Nets vs. New York Knicks,2016-10-20 19:30:00,19,True
68,871502676289014,New York Islanders V San Jose Sharks,2016-10-18 19:00:00,19,True
69,1747266412216939,New York Islanders V Anaheim Ducks (Magnetic Schedule & T-Shirt),2016-10-16 18:00:00,18,False
70,301538996879606,TIDAL X 1015,2016-10-15 20:00:00,20,False
71,520459514811998,Brooklyn Nets vs. Boston Celtics,2016-10-13 19:30:00,19,True
72,969965803124470,Drake: Summer Sixteen Tour,2016-10-12 18:30:00,18,True
73,777260675743032,Drake: Summer Sixteen Tour,2016-10-11 18:30:00,18,True
74,1538444443131575,Juan Gabriel,2016-10-09 19:00:00,19,False
75,343301122679550,Blake Shelton: Presented by Gildan®,2016-10-08 19:30:00,19,False
76,507190799488253,Blake Shelton: Presented by Gildan®,2016-10-07 19:30:00,19,True
77,185106671908721,Brooklyn Nets vs. Detroit Pistons,2016-10-06 19:30:00,19,True
78,545154798974329,EROS RAMAZZOTTI WORLD TOUR 2016,2016-10-05 20:00:00,20,True
79,1730020690604069,New York Islanders vs. New Jersey Devils,2016-10-03 19:00:00,19,True
80,1106253022746487,New York Islanders vs. Philadelphia Flyers,2016-09-26 19:00:00,19,True
81,1832759523616996,TORUK - The First Flight,2016-09-11 17:30:00,17,False
83,550877925078431,TORUK - The First Flight,2016-09-10 20:00:00,20,False
85,1007935965937125,TORUK - The First Flight,2016-09-09 19:30:00,19,True
87,782959035147743,TORUK - The First Flight,2016-09-08 19:30:00,19,True
88,514025388776092,TORUK - The First Flight,2016-09-07 19:30:00,19,True
89,1688822138046218,TFC Presents ASAP Live in NY,2016-09-03 17:00:00,17,False
90,198766500522474,Prophets of Rage - Make America Rage Again Tour,2016-08-27 19:00:00,19,False
91,700103523463612,WWE SummerSlam,2016-08-21 18:00:00,18,False
92,1613606322288122,NXT TakeOver: Brooklyn II,2016-08-20 19:30:00,19,False
97,291557147858997,Flo Rida,2016-08-18 19:00:00,19,True
98,1216120641755719,Barbra Streisand,2016-08-13 20:00:00,20,False
99,1623393841316138,Barbra Streisand,2016-08-11 20:00:00,20,True
101,1670456483215297,One Africa Music Fest,2016-07-22 19:30:00,19,True
102,513480955511453,Roc Nation Summer Classic Charity Basketball Game,2016-07-21 20:00:00,20,True
103,506020119606167,Premier Boxing Champions: Keith Thurman V. Shawn Porter,2016-06-25 17:40:00,17,False
104,1651906881728614,Florence and the Machine: How Beautiful Tour,2016-06-15 19:30:00,19,True
105,172591269768149,Florence and the Machine: How Beautiful Tour,2016-06-14 19:30:00,19,True
106,470554416481575,Selena Gomez,2016-06-01 19:30:00,19,True
107,129542534122336,Bad Boy Family Reunion,2016-05-21 20:00:00,20,False
108,1562460530720556,Bad Boy Family Reunion,2016-05-20 20:00:00,20,True
109,533998446754717,The 1975,2016-05-17 20:00:00,20,True
110,1691779354435502,Martin Lawrence,2016-05-14 20:00:00,20,False
111,1682210148660056,Justin Bieber: Purpose World Tour,2016-05-05 19:30:00,19,True
112,1717746021786469,Justin Bieber: Purpose World Tour,2016-05-04 19:30:00,19,True
113,1534274193536511,Bruce Springsteen and the E Street Band: The River Tour,2016-04-25 19:30:00,19,True
114,982673068460481,Bruce Springsteen and the E Street Band: The River Tour,2016-04-23 19:30:00,19,False
115,1690906441123884,Daily News Golden Gloves,2016-04-17 20:00:00,20,False
116,481960465337776,Premier Boxing Champions: Errol Spence Jr. V Chris Algieri,2016-04-16 18:00:00,18,False
118,1688754224672197,Brooklyn Nets vs. Toronto Raptors,2016-04-13 20:00:00,20,True
119,1559079654353008,Duran Duran:  The Paper Gods Tour with Chic featuring Nile Rodgers,2016-04-12 19:00:00,19,True
120,449815798559796,Brooklyn Nets vs. Washington Wizards,2016-04-11 19:30:00,19,True
121,1548712108773326,Rock and Roll Hall of Fame Induction Ceremony 2016,2016-04-08 19:00:00,19,True
123,1635938336667699,Rihanna: Anti World Tour 2016,2016-03-30 19:30:00,19,True
124,924331617642799,WWE Monday Night RAW,2016-03-28 18:30:00,18,True
125,1490858214549932,Rihanna: Anti World Tour 2016,2016-03-27 19:30:00,19,False
126,906372386077540,Brooklyn Nets vs. Indiana Pacers,2016-03-26 18:00:00,18,False
127,1609339076008966,Katt Williams: Conspiracy Theory,2016-03-25 20:00:00,20,True
128,615977941876134,Brooklyn Nets vs. Cleveland Cavaliers,2016-03-24 19:30:00,19,True
129,1485991165042237,Brooklyn Nets vs. Charlotte Hornets,2016-03-22 19:30:00,19,True
130,186411988366341,New York Islanders vs. Philadelphia Flyers,2016-03-21 19:30:00,19,True
131,1186352408046362,Brooklyn Nets vs. Philadelphia 76ers,2016-03-15 19:30:00,19,True
132,1645118779079633,Brooklyn Nets vs. Milwaukee Bucks,2016-03-13 20:00:00,20,False
136,1679097075681819,Atlantic 10 Men's Basketball Championship: Quarterfinals (Session 5),2016-03-11 18:30:00,18,True
138,445892182260601,Atlantic 10 Men's Basketball Championship: Second Round (Session 3),2016-03-10 18:30:00,18,True
140,1496960640632278,Atlantic 10 Men's Basketball Championship: First Round (Session 1),2016-03-09 18:30:00,18,True
141,513714092143212,New York Islanders vs. Pittsburgh Penguins,2016-03-08 19:30:00,19,True
144,711870295581455,Brooklyn Nets vs. Charlotte Hornets,2016-02-21 18:00:00,18,False
145,441580762633500,Brooklyn Nets vs. New York Knicks,2016-02-19 19:30:00,19,True
146,925720510838784,Maxwell and Nas,2016-02-14 20:00:00,20,False
147,498201123686279,Ladies Night R&B Super Jam,2016-02-12 20:00:00,20,True
148,1518535585134405,Brooklyn Nets vs. Memphis Grizzlies,2016-02-10 19:30:00,19,True
149,1717600641794269,Brooklyn Nets vs. Denver Nuggets,2016-02-08 19:30:00,19,True
150,1267737186573695,Brooklyn Nets vs. Sacramento Kings,2016-02-05 19:30:00,19,True
151,851013821672968,Brooklyn Nets vs. Indiana Pacers,2016-02-03 19:30:00,19,True
152,495501630611928,Brooklyn Nets vs. Detroit Pistons,2016-02-01 19:30:00,19,True
153,917469148331095,Muse: Drones World Tour,2016-01-27 19:30:00,19,True
154,1072613776096025,Brooklyn Nets vs. Miami Heat,2016-01-26 19:30:00,19,True
155,463540887163904,Brooklyn Nets vs. Oklahoma City Thunder,2016-01-24 19:30:00,19,False
156,886703901384903,Brooklyn Nets vs. Utah Jazz,2016-01-22 19:30:00,19,True
157,1659032381047529,Kygo,2016-01-21 20:00:00,20,True
158,1648368788751216,Brooklyn Nets vs. Cleveland Cavaliers,2016-01-20 19:30:00,19,True
161,1722640167980478,Heavyweight Championship: Deontay Wilder v. Artur Szpilka,2016-01-16 18:00:00,18,False
162,111114779253110,Brooklyn Nets vs. Portland Trail Blazers,2016-01-15 19:30:00,19,True
163,920366334665359,Brooklyn Nets vs. New York Knicks,2016-01-13 19:30:00,19,True
164,1230863393605995,Brooklyn Nets vs. San Antonio Spurs,2016-01-11 19:30:00,19,True
165,1388478754792183,Brooklyn Nets vs. Orlando Magic,2016-01-08 19:30:00,19,True
166,1084480751576229,Brooklyn Nets vs. Toronto Raptors,2016-01-06 19:30:00,19,True
167,200799846921289,Brooklyn Nets vs. Boston Celtics,2016-01-04 19:30:00,19,True
168,1486784441628065,Harlem Globetrotters,2016-01-02 19:00:00,19,False
